alpha,FPR,TPR,FDR,NPrecision,NRecall,diffnetfinder_sec,run,dim,NTP,NTN,NFP,NFN,NTPR,NFPR,NACC
0.05,,,,,,,0,200,,,,,,,
0.1,,,,,,,0,200,,,,,,,
0.15,,,,,,,0,200,,,,,,,
0.2,,,,,,,0,200,,,,,,,
0.25,,,,,,,0,200,,,,,,,
0.3,,,,,,,0,200,,,,,,,
0.35,,,,,,,0,200,,,,,,,
0.4,,,,,,,0,200,,,,,,,
0.45,,,,,,,0,200,,,,,,,
0.5,,,,,,,0,200,,,,,,,
0.55,,,,,,,0,200,,,,,,,
0.6,,,,,,,0,200,,,,,,,
0.65,,,,,,,0,200,,,,,,,
0.7,,,,,,,0,200,,,,,,,
0.75,,,,,,,0,200,,,,,,,
0.8,,,,,,,0,200,,,,,,,
0.85,,,,,,,0,200,,,,,,,
0.9,,,,,,,0,200,,,,,,,
0.95,,,,,,,0,200,,,,,,,
1.0,,,,,,,0,200,,,,,,,
0.05,0.0,1.0,0.0,1.0,1.0,44.01000709994696,1,200,10.0,19890.0,0.0,0.0,1.0,0.0,1.0
0.1,0.0,1.0,0.0,1.0,1.0,44.01000709994696,1,200,10.0,19890.0,0.0,0.0,1.0,0.0,1.0
0.15,5.0276520864756156e-05,1.0,0.09090909090909091,0.9090909090909091,1.0,44.01000709994696,1,200,10.0,19889.0,1.0,0.0,1.0,5.0276520864756156e-05,0.9999497487437186
0.2,5.0276520864756156e-05,1.0,0.09090909090909091,0.9090909090909091,1.0,44.01000709994696,1,200,10.0,19889.0,1.0,0.0,1.0,5.0276520864756156e-05,0.9999497487437186
0.25,0.00015082956259426848,1.0,0.23076923076923078,0.7692307692307693,1.0,44.01000709994696,1,200,10.0,19887.0,3.0,0.0,1.0,0.00015082956259426848,0.9998492462311558
0.3,0.0003519356460532931,1.0,0.4117647058823529,0.5882352941176471,1.0,44.01000709994696,1,200,10.0,19883.0,7.0,0.0,1.0,0.0003519356460532931,0.9996482412060301
0.35,0.0005027652086475615,1.0,0.5,0.5,1.0,44.01000709994696,1,200,10.0,19880.0,10.0,0.0,1.0,0.0005027652086475615,0.9994974874371859
0.4,0.00065359477124183,1.0,0.5652173913043478,0.43478260869565216,1.0,44.01000709994696,1,200,10.0,19877.0,13.0,0.0,1.0,0.00065359477124183,0.9993467336683417
0.45,0.0007038712921065862,1.0,0.5833333333333334,0.4166666666666667,1.0,44.01000709994696,1,200,10.0,19876.0,14.0,0.0,1.0,0.0007038712921065862,0.9992964824120603
0.5,0.0008547008547008547,1.0,0.6296296296296297,0.37037037037037035,1.0,44.01000709994696,1,200,10.0,19873.0,17.0,0.0,1.0,0.0008547008547008547,0.999145728643216
0.55,0.0008547008547008547,1.0,0.6296296296296297,0.37037037037037035,1.0,44.01000709994696,1,200,10.0,19873.0,17.0,0.0,1.0,0.0008547008547008547,0.999145728643216
0.6,0.000955253896430367,1.0,0.6551724137931034,0.3448275862068966,1.0,44.01000709994696,1,200,10.0,19871.0,19.0,0.0,1.0,0.000955253896430367,0.9990452261306533
0.65,0.001005530417295123,1.0,0.6666666666666666,0.3333333333333333,1.0,44.01000709994696,1,200,10.0,19870.0,20.0,0.0,1.0,0.001005530417295123,0.9989949748743718
0.7,0.0010558069381598793,1.0,0.6774193548387096,0.3225806451612903,1.0,44.01000709994696,1,200,10.0,19869.0,21.0,0.0,1.0,0.0010558069381598793,0.9989447236180905
0.75,0.0018602312719959778,1.0,0.7872340425531915,0.2127659574468085,1.0,44.01000709994696,1,200,10.0,19853.0,37.0,0.0,1.0,0.0018602312719959778,0.998140703517588
0.8,0.004172951231774761,1.0,0.8924731182795699,0.10752688172043011,1.0,44.01000709994696,1,200,10.0,19807.0,83.0,0.0,1.0,0.004172951231774761,0.9958291457286432
0.85,0.0059326294620412265,1.0,0.921875,0.078125,1.0,44.01000709994696,1,200,10.0,19772.0,118.0,0.0,1.0,0.0059326294620412265,0.994070351758794
0.9,0.015384615384615385,1.0,0.9683544303797469,0.03164556962025317,1.0,44.01000709994696,1,200,10.0,19584.0,306.0,0.0,1.0,0.015384615384615385,0.9846231155778894
0.95,0.10361990950226245,1.0,0.9951714147754708,0.004828585224529213,1.0,44.01000709994696,1,200,10.0,17829.0,2061.0,0.0,1.0,0.10361990950226245,0.8964321608040201
1.0,0.9541980894922072,1.0,0.9994733793248723,0.0005266206751277055,1.0,44.01000709994696,1,200,10.0,911.0,18979.0,0.0,1.0,0.9541980894922072,0.04628140703517588
0.05,0.00010055304172951231,1.0,0.16666666666666666,0.8333333333333334,1.0,44.8563625998795,2,200,10.0,19888.0,2.0,0.0,1.0,0.00010055304172951231,0.9998994974874372
0.1,0.00010055304172951231,1.0,0.16666666666666666,0.8333333333333334,1.0,44.8563625998795,2,200,10.0,19888.0,2.0,0.0,1.0,0.00010055304172951231,0.9998994974874372
0.15,0.00010055304172951231,1.0,0.16666666666666666,0.8333333333333334,1.0,44.8563625998795,2,200,10.0,19888.0,2.0,0.0,1.0,0.00010055304172951231,0.9998994974874372
0.2,0.00010055304172951231,1.0,0.16666666666666666,0.8333333333333334,1.0,44.8563625998795,2,200,10.0,19888.0,2.0,0.0,1.0,0.00010055304172951231,0.9998994974874372
0.25,0.00010055304172951231,1.0,0.16666666666666666,0.8333333333333334,1.0,44.8563625998795,2,200,10.0,19888.0,2.0,0.0,1.0,0.00010055304172951231,0.9998994974874372
0.3,0.00010055304172951231,1.0,0.16666666666666666,0.8333333333333334,1.0,44.8563625998795,2,200,10.0,19888.0,2.0,0.0,1.0,0.00010055304172951231,0.9998994974874372
0.35,0.00010055304172951231,1.0,0.16666666666666666,0.8333333333333334,1.0,44.8563625998795,2,200,10.0,19888.0,2.0,0.0,1.0,0.00010055304172951231,0.9998994974874372
0.4,0.00015082956259426848,1.0,0.23076923076923078,0.7692307692307693,1.0,44.8563625998795,2,200,10.0,19887.0,3.0,0.0,1.0,0.00015082956259426848,0.9998492462311558
0.45,0.00015082956259426848,1.0,0.23076923076923078,0.7692307692307693,1.0,44.8563625998795,2,200,10.0,19887.0,3.0,0.0,1.0,0.00015082956259426848,0.9998492462311558
0.5,0.00015082956259426848,1.0,0.23076923076923078,0.7692307692307693,1.0,44.8563625998795,2,200,10.0,19887.0,3.0,0.0,1.0,0.00015082956259426848,0.9998492462311558
0.55,0.0003519356460532931,1.0,0.4117647058823529,0.5882352941176471,1.0,44.8563625998795,2,200,10.0,19883.0,7.0,0.0,1.0,0.0003519356460532931,0.9996482412060301
0.6,0.0003519356460532931,1.0,0.4117647058823529,0.5882352941176471,1.0,44.8563625998795,2,200,10.0,19883.0,7.0,0.0,1.0,0.0003519356460532931,0.9996482412060301
0.65,0.00040221216691804925,1.0,0.4444444444444444,0.5555555555555556,1.0,44.8563625998795,2,200,10.0,19882.0,8.0,0.0,1.0,0.00040221216691804925,0.9995979899497487
0.7,0.001005530417295123,1.0,0.6666666666666666,0.3333333333333333,1.0,44.8563625998795,2,200,10.0,19870.0,20.0,0.0,1.0,0.001005530417295123,0.9989949748743718
0.75,0.001608848667672197,1.0,0.7619047619047619,0.23809523809523808,1.0,44.8563625998795,2,200,10.0,19858.0,32.0,0.0,1.0,0.001608848667672197,0.998391959798995
0.8,0.0017094017094017094,1.0,0.7727272727272727,0.22727272727272727,1.0,44.8563625998795,2,200,10.0,19856.0,34.0,0.0,1.0,0.0017094017094017094,0.9982914572864322
0.85,0.0017094017094017094,1.0,0.7727272727272727,0.22727272727272727,1.0,44.8563625998795,2,200,10.0,19856.0,34.0,0.0,1.0,0.0017094017094017094,0.9982914572864322
