FPR,TPR,FDR,NPrecision,NRecall,alpha,NTP,NTN,NFP,NFN,NTPR,NFPR,NACC,diffnetfinder_sec,run,dim
0.0,0.0,0.0,,0.0,0.05,0,19890,0,10,0.0,0.0,0.9994974874371859,47.99978039995767,0,200
0.0,0.0,0.0,,0.0,0.1,0,19890,0,10,0.0,0.0,0.9994974874371859,47.99978039995767,0,200
0.0,0.0,0.0,,0.0,0.15,0,19890,0,10,0.0,0.0,0.9994974874371859,47.99978039995767,0,200
0.0,0.0,0.0,,0.0,0.2,0,19890,0,10,0.0,0.0,0.9994974874371859,47.99978039995767,0,200
0.0,0.0,0.0,,0.0,0.25,0,19890,0,10,0.0,0.0,0.9994974874371859,47.99978039995767,0,200
0.0,0.0,0.0,,0.0,0.3,0,19890,0,10,0.0,0.0,0.9994974874371859,47.99978039995767,0,200
0.0,0.0,0.0,,0.0,0.35,0,19890,0,10,0.0,0.0,0.9994974874371859,47.99978039995767,0,200
0.0,0.0,0.0,,0.0,0.4,0,19890,0,10,0.0,0.0,0.9994974874371859,47.99978039995767,0,200
0.0003519356460532931,0.0,1.0,0.0,0.0,0.45,0,19883,7,10,0.0,0.0003519356460532931,0.999145728643216,47.99978039995767,0,200
0.0003519356460532931,0.0,1.0,0.0,0.0,0.5,0,19883,7,10,0.0,0.0003519356460532931,0.999145728643216,47.99978039995767,0,200
0.0003519356460532931,0.0,1.0,0.0,0.0,0.55,0,19883,7,10,0.0,0.0003519356460532931,0.999145728643216,47.99978039995767,0,200
0.0003519356460532931,0.0,1.0,0.0,0.0,0.6,0,19883,7,10,0.0,0.0003519356460532931,0.999145728643216,47.99978039995767,0,200
0.0003519356460532931,0.0,1.0,0.0,0.0,0.65,0,19883,7,10,0.0,0.0003519356460532931,0.999145728643216,47.99978039995767,0,200
0.0003519356460532931,0.0,1.0,0.0,0.0,0.7,0,19883,7,10,0.0,0.0003519356460532931,0.999145728643216,47.99978039995767,0,200
0.0003519356460532931,0.0,1.0,0.0,0.0,0.75,0,19883,7,10,0.0,0.0003519356460532931,0.999145728643216,47.99978039995767,0,200
0.0003519356460532931,0.0,1.0,0.0,0.0,0.8,0,19883,7,10,0.0,0.0003519356460532931,0.999145728643216,47.99978039995767,0,200
0.00040221216691804925,0.0,1.0,0.0,0.0,0.85,0,19882,8,10,0.0,0.00040221216691804925,0.9990954773869347,47.99978039995767,0,200
0.00045248868778280545,0.0,1.0,0.0,0.0,0.9,0,19881,9,10,0.0,0.00045248868778280545,0.9990452261306533,47.99978039995767,0,200
0.00045248868778280545,0.0,1.0,0.0,0.0,0.95,0,19881,9,10,0.0,0.00045248868778280545,0.9990452261306533,47.99978039995767,0,200
0.05555555555555555,0.5,0.9954954954954955,0.0045045045045045045,0.5,1.0,5,18785,1105,5,0.5,0.05555555555555555,0.9442211055276382,47.99978039995767,0,200
5.0276520864756156e-05,0.1,0.5,0.5,0.1,0.05,1,19889,1,9,0.1,5.0276520864756156e-05,0.9994974874371859,47.47409830009565,1,200
